Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh,team,xG_share,xGA_share
Open play,226,23,121,9,30.18,14.43,15.75,0.13,0.12,Arsenal,0.6756212222968435,0.7829625610417797
From corner,52,11,21,2,9.9,2.19,7.7,0.19,0.1,Arsenal,0.2216252518468771,0.11882799782962561
Set piece,20,3,12,2,2.07,1.57,0.5,0.1,0.13,Arsenal,0.046339825386165205,0.08518719479110147
Direct Freekick,6,0,4,1,0.24,0.24,0.0,0.04,0.06,Arsenal,0.005372733378106111,0.013022246337493217
Penalty,3,3,0,0,2.28,0.0,2.28,0.76,0.0,Arsenal,0.051040967092008054,0.0
Open play,170,25,190,16,23.91,22.39,1.52,0.14,0.12,Aston Villa,0.7880685563612393,0.6657746060065417
From corner,42,6,50,6,3.85,7.2,-3.35,0.09,0.14,Aston Villa,0.12689518787079762,0.21409455842997321
Set piece,9,0,16,1,1.79,2.12,-0.32,0.2,0.13,Aston Villa,0.05899802241265656,0.06303895331549211
Direct Freekick,9,2,5,0,0.79,0.4,0.39,0.09,0.08,Aston Villa,0.026038233355306528,0.011894142134998512
Penalty,0,0,2,1,0.0,1.52,-1.52,0.0,0.76,Aston Villa,0.0,0.04519774011299435
Open play,218,22,180,22,25.38,22.6,2.77,0.12,0.13,bournmouth,0.7189801699716715,0.7404980340760157
From corner,28,3,43,7,5.05,3.48,1.57,0.18,0.08,bournmouth,0.14305949008498584,0.11402359108781127
Set piece,18,2,14,4,1.69,1.81,-0.13,0.09,0.13,bournmouth,0.047875354107648725,0.05930537352555701
Direct Freekick,11,2,4,2,0.9,0.35,0.55,0.08,0.09,bournmouth,0.0254957507082153,0.01146788990825688
Penalty,3,2,3,3,2.28,2.28,0.0,0.76,0.76,bournmouth,0.06458923512747876,0.0747051114023591
Open play,151,26,197,24,24.43,24.46,-0.03,0.16,0.12,Brentford,0.6658490051785227,0.7918420200712205
From corner,30,1,35,1,4.66,2.77,1.89,0.16,0.08,Brentford,0.12701008449168713,0.08967303334412431
Set piece,10,0,10,1,2.04,0.35,1.69,0.2,0.03,Brentford,0.05560098119378578,0.011330527678860471
Penalty,7,5,4,2,5.33,3.04,2.28,0.76,0.76,Brentford,0.1452711910602344,0.09841372612495954
Direct Freekick,2,0,4,0,0.23,0.27,-0.04,0.12,0.07,Brentford,0.006268738075769965,0.008740692780835222
Open play,208,20,185,19,22.4,23.92,-1.52,0.11,0.13,Brighton,0.683969465648855,0.6911297312915343
From corner,37,6,33,4,5.54,4.59,0.95,0.15,0.14,Brighton,0.16916030534351145,0.13262062987575846
Direct Freekick,11,1,6,0,0.58,0.3,0.28,0.05,0.05,Brighton,0.017709923664122135,0.008668015024559377
Set piece,11,0,20,1,0.42,2.76,-2.34,0.04,0.14,Brighton,0.01282442748091603,0.07974573822594626
Penalty,5,3,4,3,3.81,3.04,0.76,0.76,0.76,Brighton,0.11633587786259542,0.08783588558220168
Open play,121,16,230,26,13.62,31.84,-18.22,0.11,0.14,burnely,0.6896202531645569,0.6750052999788001
From corner,29,2,61,7,1.91,8.94,-7.03,0.07,0.15,burnely,0.09670886075949367,0.18952724189103243
Set piece,17,0,13,1,2.13,2.1,0.03,0.13,0.16,burnely,0.10784810126582278,0.04451982192071232
Direct Freekick,10,0,7,0,0.57,0.48,0.09,0.06,0.07,burnely,0.028860759493670885,0.010175959296162815
Penalty,2,2,5,5,1.52,3.81,-2.28,0.76,0.76,burnely,0.0769620253164557,0.08077167691329235
Open play,206,20,157,17,28.59,25.25,3.34,0.14,0.16,Chelsea,0.7472556194458966,0.8038841133397008
From corner,49,8,30,4,6.57,3.6,2.97,0.13,0.12,Chelsea,0.1717198118139049,0.11461318051575932
Set piece,12,1,18,1,1.06,1.94,-0.88,0.09,0.11,Chelsea,0.02770517511761631,0.06176376950015918
Direct Freekick,9,2,9,0,0.52,0.62,-0.11,0.06,0.07,Chelsea,0.01359121798222687,0.01973893664438077
Penalty,2,2,0,0,1.52,0.0,1.52,0.76,0.0,Chelsea,0.03972817564035547,0.0
Open play,181,13,156,11,25.93,19.99,5.94,0.14,0.13,Crystal Palace,0.721279554937413,0.648184176394293
From corner,33,4,42,5,5.41,6.54,-1.13,0.16,0.16,Crystal Palace,0.1504867872044506,0.21206225680933852
Set piece,16,1,21,4,1.42,2.11,-0.69,0.09,0.1,Crystal Palace,0.03949930458970792,0.06841763942931257
Penalty,4,4,2,2,3.04,1.52,1.52,0.76,0.76,Crystal Palace,0.08456189151599443,0.04928664072632944
Direct Freekick,2,0,7,1,0.15,0.68,-0.53,0.07,0.1,Crystal Palace,0.004172461752433935,0.02204928664072633
Open play,148,17,205,17,18.61,23.23,-4.63,0.13,0.11,Everton,0.7089523809523809,0.7176397899289466
From corner,37,3,46,5,3.93,4.97,-1.04,0.11,0.11,Everton,0.14971428571428572,0.15353722582638246
Set piece,23,1,11,0,2.64,1.45,1.19,0.11,0.13,Everton,0.10057142857142858,0.044794562866852024
Direct Freekick,7,0,7,0,0.31,0.44,-0.13,0.04,0.06,Everton,0.01180952380952381,0.013592832869941306
Penalty,1,1,3,2,0.76,2.28,-1.52,0.76,0.76,Everton,0.02895238095238095,0.07043558850787766
Open play,187,20,169,21,21.19,21.55,-0.36,0.11,0.13,Fulham,0.7669200144770177,0.672806743677802
From corner,39,7,37,6,5.1,6.61,-1.51,0.13,0.18,Fulham,0.1845819761129207,0.20636902903527943
Set piece,6,0,10,0,0.29,1.21,-0.91,0.05,0.12,Fulham,0.010495837857401373,0.03777708398376522
Direct Freekick,3,0,7,0,0.29,0.38,-0.09,0.1,0.05,Fulham,0.010495837857401373,0.011863877614736184
Penalty,1,1,3,2,0.76,2.28,-1.52,0.76,0.76,Fulham,0.027506333695258775,0.0711832656884171
Open play,179,14,177,23,21.14,20.44,0.7,0.12,0.12,Leeds,0.6821555340432397,0.6861362873447466
From corner,50,6,35,4,4.68,4.85,-0.17,0.09,0.14,Leeds,0.15101645692158758,0.1628063108425646
Set piece,15,2,12,1,2.6,1.46,1.14,0.17,0.12,Leeds,0.08389803162310422,0.04900973481033904
Direct Freekick,5,2,10,2,0.29,0.76,-0.47,0.06,0.08,Leeds,0.00935785737334624,0.025511916750587445
Penalty,3,2,3,3,2.28,2.28,0.0,0.76,0.76,Leeds,0.07357212003872216,0.07653575025176233
Open play,234,29,157,17,30.16,18.79,11.37,0.13,0.12,Liverpool,0.83245928788297,0.7139057750759878
From corner,42,1,34,7,3.67,3.54,0.13,0.09,0.1,Liverpool,0.10129726745790782,0.1344984802431611
Set piece,13,0,13,2,1.12,1.32,-0.2,0.09,0.1,Liverpool,0.0309136075075904,0.05015197568389058
Direct Freekick,8,1,10,0,0.52,0.39,0.13,0.06,0.04,Liverpool,0.014352746342809829,0.014817629179331307
Penalty,1,1,3,2,0.76,2.28,-1.52,0.76,0.76,Liverpool,0.020977090808722055,0.08662613981762918
Open play,228,37,149,11,37.24,17.72,19.52,0.16,0.12,Manchester City,0.8362901414776556,0.7265272652726527
From corner,47,6,23,5,4.94,3.9,1.04,0.11,0.17,Manchester City,0.11093644733887267,0.15990159901599016
Direct Freekick,5,0,2,0,0.34,0.1,0.24,0.07,0.05,Manchester City,0.007635302043566135,0.004100041000410004
Set piece,4,0,12,1,0.49,1.15,-0.66,0.12,0.1,Manchester City,0.011003817651021782,0.04715047150471504
Penalty,2,1,2,1,1.52,1.52,0.0,0.76,0.76,Manchester City,0.034134291488883896,0.062320623206232065
Open play,246,21,159,21,30.83,20.65,10.18,0.13,0.13,Manchester United,0.7216760299625468,0.7160194174757281
From corner,50,7,46,6,5.44,5.77,-0.33,0.11,0.13,Manchester United,0.12734082397003746,0.20006934812760055
Set piece,18,3,14,0,2.98,1.31,1.67,0.17,0.09,Manchester United,0.06975655430711611,0.045423023578363385
Direct Freekick,5,1,5,2,0.43,0.35,0.08,0.09,0.07,Manchester United,0.010065543071161049,0.012135922330097087
Penalty,4,2,1,1,3.04,0.76,2.28,0.76,0.76,Manchester United,0.07116104868913858,0.026352288488210817
Open play,181,16,167,17,22.67,20.09,2.58,0.13,0.12,Newcastle United,0.6510626076967261,0.7909448818897639
From corner,47,6,31,4,6.64,2.07,4.57,0.14,0.07,Newcastle United,0.19069500287191268,0.08149606299212599
Set piece,19,3,9,0,3.01,1.33,1.68,0.16,0.15,Newcastle United,0.08644457208500861,0.05236220472440945
Direct Freekick,4,0,6,1,0.22,0.39,-0.16,0.06,0.06,Newcastle United,0.006318207926479035,0.015354330708661419
Penalty,3,3,2,2,2.28,1.52,0.76,0.76,0.76,Newcastle United,0.06547960941987363,0.059842519685039376
Open play,181,14,183,17,18.33,20.69,-2.36,0.1,0.11,Nottingham Forest,0.8004366812227074,0.6283024597631339
From corner,43,3,45,7,2.39,4.97,-2.58,0.06,0.11,Nottingham Forest,0.10436681222707425,0.15092620710598237
Set piece,13,1,18,4,1.01,3.86,-2.85,0.08,0.21,Nottingham Forest,0.044104803493449786,0.11721834193744306
Direct Freekick,8,0,5,1,0.41,0.37,0.03,0.05,0.07,Nottingham Forest,0.017903930131004366,0.011235955056179775
Penalty,1,1,4,4,0.76,3.04,-2.28,0.76,0.76,Nottingham Forest,0.03318777292576419,0.09231703613726086
Open play,146,18,173,21,17.14,20.08,-2.94,0.12,0.12,Tottenham,0.7343616109682948,0.7822360732372419
From corner,38,10,36,2,5.42,3.24,2.18,0.14,0.09,Tottenham,0.23221936589545844,0.12621737436696534
Set piece,10,0,12,0,0.54,1.3,-0.76,0.05,0.11,Tottenham,0.023136246786632394,0.0506427736657577
Direct Freekick,4,0,7,0,0.24,0.29,-0.05,0.06,0.04,Tottenham,0.010282776349614395,0.011297234125438255
Penalty,0,0,1,1,0.0,0.76,-0.76,0.0,0.76,Tottenham,0.0,0.02960654460459681
Open play,141,14,233,16,15.18,26.47,-11.29,0.11,0.11,Sunderland,0.711340206185567,0.8238406473700592
From corner,30,2,45,3,2.33,3.67,-1.34,0.08,0.08,Sunderland,0.10918462980318651,0.11422346716464366
Set piece,17,3,13,0,2.24,1.0,1.24,0.13,0.08,Sunderland,0.10496719775070291,0.031123560535325244
Direct Freekick,2,0,4,0,0.07,0.23,-0.16,0.03,0.06,Sunderland,0.003280224929709466,0.007158418923124807
Penalty,2,2,1,0,1.52,0.76,0.76,0.76,0.76,Sunderland,0.07122774133083412,0.02365390600684719
