team,Sh,G,ShA,GA,xG,xGA,finishing_G_minus_xG,prevention_xGA_minus_GA,sp_xG,sp_xGA,sp_dependency,sp_vulnerability
Arsenal,307,40,158,14,44.67,18.43,-4.670000000000002,4.43,14.49,4.0,0.3243787777031565,0.2170374389582203
Aston Villa,230,33,263,24,30.34,33.63,2.66,9.630000000000003,6.43,11.24,0.2119314436387607,0.3342253939934582
Brentford,200,32,250,28,36.69,30.89,-4.689999999999998,2.8900000000000006,12.26,6.43,0.33415099482147725,0.20815797992877952
Brighton,272,30,248,27,32.75,34.61,-2.75,7.609999999999999,10.35,10.69,0.31603053435114503,0.30887026870846573
Chelsea,278,33,214,22,38.26,31.41,-5.259999999999998,9.41,9.67,6.16,0.25274438055410353,0.19611588666029928
Crystal Palace,236,22,228,23,35.95,30.84,-13.950000000000003,7.84,10.02,10.85,0.2787204450625869,0.35181582360570685
Everton,216,22,272,24,26.25,32.37,-4.25,8.369999999999997,7.640000000000001,9.14,0.29104761904761905,0.2823602100710535
Fulham,236,28,226,29,27.630000000000003,32.03,0.36999999999999744,3.030000000000001,6.4399999999999995,10.48,0.23307998552298223,0.3271932563221979
Leeds,252,26,237,33,30.990000000000002,29.79,-4.990000000000002,-3.210000000000001,9.85,9.35,0.3178444659567602,0.3138637126552534
Liverpool,298,32,217,28,36.23,26.32,-4.229999999999997,-1.6799999999999997,6.07,7.529999999999999,0.16754071211703012,0.28609422492401215
Manchester City,286,44,188,18,44.53,24.39,-0.5300000000000011,6.390000000000001,7.290000000000001,6.67,0.16370985852234451,0.2734727347273473
Manchester United,323,34,225,30,42.72,28.84,-8.719999999999999,-1.1600000000000001,11.89,8.19,0.2783239700374532,0.28398058252427183
Newcastle United,254,28,215,24,34.82,25.4,-6.82,1.3999999999999986,12.149999999999999,5.3100000000000005,0.3489373923032739,0.20905511811023625
Nottingham Forest,246,19,255,33,22.9,32.93,-3.8999999999999986,-0.07000000000000028,4.57,12.24,0.1995633187772926,0.3716975402368661
Sunderland,192,21,296,19,21.34,32.129999999999995,-0.33999999999999986,13.129999999999995,6.16,5.66,0.288659793814433,0.1761593526299409
Tottenham,198,28,229,24,23.34,25.669999999999998,4.66,1.6699999999999982,6.2,5.59,0.2656383890317052,0.2177639267627581
West Ham,196,21,304,41,23.01,43.17,-2.0100000000000016,2.1700000000000017,8.34,13.59,0.36245110821382004,0.31480194579569143
Wolverhampton Wanderers,179,14,271,40,19.79,36.65,-5.789999999999999,-3.3500000000000014,7.6899999999999995,7.16,0.38858009095502777,0.19536152796725786
bournmouth,278,31,244,38,35.3,30.520000000000003,-4.299999999999997,-7.479999999999997,9.92,7.92,0.28101983002832864,0.2595019659239842
burnely,179,20,316,39,19.75,47.17,0.25,8.170000000000002,6.13,15.33,0.31037974683544306,0.3249947000211999
